obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000308,316253,0,1155,939,357.28552246,6.7056000000000004,350.57992246
obs_000309,4500099,0,823,1240,74.88175201,1.4999963779449463,73.38175563205505
obs_000310,5704847,0,788,1072,197.02947998,0.0,197.02947998
obs_000311,379052,0,1097,564,244.2197876,6.4008,237.81898759999999
obs_000312,28000009139,0,777,595,260.13665771,2.4384,257.69825771
obs_000313,490132,0,1179,960,352.5123291,6.4008,346.1115291
obs_000314,14000005325,0,1091,574,252.00920105,7.62,244.38920105
obs_000315,2015443,0,1312,724,258.83587646,6.096,252.73987646
obs_000316,2006139,0,980,1003,228.81536865,3.8999907279968262,224.9153779220032
obs_000317,80000003414,0,1052,580,236.28744507,10.3632,225.92424506999998
obs_000318,88249,0,1228,823,298.83929443,3.6576000000000004,295.18169443
obs_000319,329569,0,1130,553,247.08795166,6.096,240.99195165999998
obs_000320,350039,0,1171,525,217.04377747,2.7432000000000003,214.30057747
obs_000321,79674,0,1138,597,270.47515869,0.9144000000000001,269.56075869
obs_000322,7143871,0,888,1002,395.00268555,0.0,395.00268555
obs_000323,247389,0,1165,642,253.92596436,12.192,241.73396436
obs_000324,81000024471,0,1047,767,249.75106812,6.096,243.65506812
obs_000325,311617,0,1108,612,282.01565552,17.0688,264.94685552
obs_000326,7207925,0,904,1021,332.01101685,0.0,332.01101685
obs_000327,46135,0,1098,561,242.49765015,6.7056000000000004,235.79205015
obs_000328,6922160,0,800,1105,225.38514709,5.19998724975586,220.18515984024415
obs_000329,3408639,0,980,910,206.09927368,0.0,206.09927368
obs_000330,71000003274,0,673,727,176.96696472,0.3048,176.66216472
obs_000331,24558,0,1099,519,236.0980835,13.716000000000001,222.3820835
obs_000332,61000015861,0,934,571,209.62255859,3.6576000000000004,205.96495859
obs_000333,28000003296,0,765,614,181.52392578,9.144,172.37992578
obs_000334,61000004197,0,931,557,178.25521851,9.7536,168.50161851
obs_000335,35000002584,0,815,754,245.51298523,7.9248,237.58818523
obs_000336,6929651,0,877,1106,75.83520508,0.0,75.83520508
obs_000337,62000003198,0,905,598,253.19148254,9.144,244.04748254
obs_000338,2917056,0,800,1265,103.40416718,0.0,103.40416718
obs_000339,21000003689,0,636,502,225.65818787,27.432000000000002,198.22618787
obs_000340,350252,0,1153,535,229.29922485,8.6868,220.61242485
obs_000341,48417,0,1189,712,226.38832092,3.9624,222.42592092
obs_000342,61000014529,0,926,557,193.37149048,1.2192,192.15229048
obs_000343,55000001900,0,683,436,218.18078613,4.572,213.60878613
obs_000344,XF223,0,621,283,492.27957153,5.486400000000001,486.79317153
obs_000345,7109659,0,729,1400,99.67519379,0.0,99.67519379
